,name,batch,2021,2020,2019,2018,2017,2016,2015
221,广州华商学院,本科二批,273082,228392,214312,201281,194034,194034,194034
222,广州南方学院,本科二批,284988,197169,184336,180543,183594,177073,177073
223,广州软件学院,本科二批,203404,202887,192243,188928,187480,187480,187480
224,广州商学院,本科二批,232325,207250,212792,206814,200354,200354,200354
225,广州新华学院,本科二批,292189,229756,198658,199851,195300,195300,195300
226,广州医科大学,本科一批,38526,30260,29151,30752,27863,27217,19945
227,广州中医药大学,本科一批,39420,34290,26424,33449,25007,27217,23287
228,贵阳学院,本科二批,173219,143264,144952,137269,137486,142305,142305
229,贵州财经大学,本科二批,200256,191461,253689,85142,84704,84704,84704
230,贵州财经大学商务学院,本科二批,211482,202887,204917,201281,204233,204233,204233
231,贵州大学,本科一批,27341,27959,29841,38484,27258,27217,27645
232,贵州大学明德学院,本科二批,297990,197169,201696,198558,204233,204233,204233
233,贵州工程应用技术学院,本科二批,189083,187213,226764,151756,146666,137044,137044
234,贵州警察学院,本科二批,131200,141799,165929,165929,165929,165929,165929
235,贵州理工学院,本科二批,151865,144698,176534,126800,118247,117948,117948
236,贵州商学院,本科二批,217907,158828,159888,154476,141401,148755,148755
237,贵州师范学院,本科二批,151865,144698,164407,168099,141401,151353,151353
238,贵州医科大学,本科二批,58092,92191,60165,79734,83016,61142,63075
239,贵州医科大学神奇民族医药学院,本科二批,132697,138907,141960,137269,146666,146666,146666
240,贵州中医药大学,本科二批,128279,104116,149279,91562,96438,93741,81363
241,贵州中医药大学时珍学院,本科二批,201854,208687,223648,223648,223648,223648,223648
242,桂林电子科技大学,本科二批,94763,89567,86875,91562,78633,68889,60948
243,桂林电子科技大学,本科一批,41207,41377,43018,43915,47284,49591,49591
244,桂林电子科技大学信息科技学院,本科二批,266965,207250,211300,213704,211839,211839,211839
245,桂林航天工业学院,本科二批,150381,133199,131781,126800,114586,111724,111724
246,桂林理工大学,本科二批,109592,112214,100680,100709,97599,131857,75468
247,桂林理工大学,本科一批,80734,92191,92191,92191,92191,92191,92191
248,桂林理工大学博文管理学院,本科二批,296564,238237,235936,228766,227874,227874,227874
249,桂林旅游学院,本科二批,214734,182908,190661,191652,158692,157809,157809
250,桂林医学院,本科二批,112446,102795,109722,88287,95249,76938,73170
251,国防科技大学,本科一批,4428,4878,4436,4329,4329,4329,4329
252,哈尔滨工程大学,本科一批,16706,17277,18059,16314,17781,15165,15885
253,哈尔滨工业大学,本科一批,3232,3375,4651,6498,3028,2827,2379
254,哈尔滨工业大学（深圳）,本科一批,1730,1919,2497,2497,2497,2497,2497
255,哈尔滨工业大学（威海）,本科一批,6621,7373,8715,9681,10979,11152,11268
256,哈尔滨广厦学院,本科二批,273082,281879,265263,261356,261356,261356,261356
257,哈尔滨华德学院,本科二批,273082,273118,266754,266423,236337,236337,236337
258,哈尔滨剑桥学院,本科二批,277505,269150,272463,253689,246709,246709,246709
259,哈尔滨金融学院,本科二批,165585,155958,162953,150408,120745,102018,82619
260,哈尔滨理工大学,本科一批,58092,50132,51294,52387,55546,63936,63936
261,哈尔滨商业大学,本科一批,86942,74766,71851,75582,58183,49591,48104
262,哈尔滨师范大学,本科二批,123956,113569,115107,107979,102355,104424,104424
263,哈尔滨石油学院,本科二批,277505,269150,269668,249880,261217,261217,261217
264,哈尔滨体育学院,本科二批,211482,201440,209699,186172,221686,143623,143623
265,哈尔滨信息工程学院,本科二批,273082,267893,269668,251170,250171,250171,250171
266,哈尔滨学院,本科二批,198637,157359,158333,147736,132176,129271,129271
267,哈尔滨医科大学,本科二批,80734,106820,55755,47198,47198,47198,47198
268,哈尔滨医科大学,本科一批,26645,36876,79803,34859,48116,15596,17326
269,哈尔滨远东理工学院,本科二批,277505,269150,262381,262622,232766,232766,232766
270,海口经济学院,本科二批,286455,267893,275178,240874,232766,232766,232766
271,海南大学,本科二批,79430,78357,82193,77679,77638,72807,72028
272,海南大学,本科一批,30319,31039,33407,42341,33844,33816,33222
273,海南科技职业大学,本科二批,279013,269150,276546,276546,276546,276546,276546
274,海南热带海洋学院,本科二批,217907,138907,140526,134604,130905,137044,137044
275,海南师范大学,本科二批,132697,109540,105793,106733,107188,111724,111724
276,海南师范大学,本科一批,71998,73543,78652,91562,91562,91562,91562
277,海南医学院,本科二批,132697,109540,119172,115409,141401,90348,90348
278,海南医学院,本科一批,78166,52176,57178,49758,45681,42986,40216
279,邯郸学院,本科二批,201854,167247,171994,186172,137486,137486,137486
280,韩山师范学院,本科二批,216337,148936,145144,141401,155209,155209,155209
281,汉江师范学院,本科二批,156390,153171,165929,168099,169165,169165,169165
282,汉口学院,本科二批,297990,220020,206509,204059,200354,200354,200354
283,杭州电子科技大学,本科一批,24547,21581,20281,21709,22210,23657,24496
284,杭州电子科技大学信息工程学院,本科二批,262361,174394,168910,172231,167915,167915,167915
285,杭州师范大学,本科一批,40304,34290,34852,34859,36597,39774,40216
286,杭州医学院,本科二批,122496,92191,94355,98319,89544,89544,89544
287,合肥城市学院,本科二批,296564,207250,206509,217868,202904,202904,202904
288,合肥工业大学,本科一批,21866,21581,23893,18611,19731,16963,16829
289,合肥工业大学宣城校区,本科一批,27341,26493,27764,25200,25007,25979,27001
290,合肥师范学院,本科二批,259330,128942,130391,129399,128280,131857,131857
291,合肥学院,本科二批,111038,108151,107111,114177,98741,100834,100834
292,河北北方学院,本科二批,118136,96089,89282,105524,81919,75897,75897
293,河北大学,本科一批,43027,48117,57178,39257,39472,39774,37776
294,河北地质大学,本科二批,123956,110870,111061,116652,101077,91462,91462
295,河北地质大学华信学院,本科二批,257747,235408,234488,232837,226678,226678,226678
296,河北东方学院,本科二批,243532,232685,237441,234204,221686,221686,221686
297,河北工程大学,本科二批,126766,104116,104489,107979,92959,90348,76618
298,河北工程大学,本科一批,71998,59698,57178,56901,51363,49591,44499
299,河北工程大学科信学院,本科二批,198637,191461,198658,186172,173111,173111,173111
300,河北工程技术学院,本科二批,295123,207250,215808,226120,236337,236337,236337
301,河北工业大学,本科一批,19481,19083,18059,26389,18265,17427,18345
302,河北环境工程学院,本科二批,179665,141799,141960,143825,140090,147444,147444
303,河北建筑工程学院,本科二批,296564,119222,115107,115409,102355,104424,104424
304,河北金融学院,本科二批,122496,113569,117785,145144,86229,78012,75468
305,河北经贸大学,本科二批,109592,92191,90542,96023,79696,60196,54810
306,河北科技大学,本科一批,116712,54281,51294,45525,46474,44640,42781
307,河北科技学院,本科二批,276009,276009,276009,276009,276009,276009,276009
308,河北民族师范学院,本科二批,292189,171454,189057,168099,162718,156507,156507
309,河北农业大学,本科二批,121053,114968,108397,115409,96438,99611,99611
310,河北师范大学,本科一批,61408,59698,58177,72572,72572,72572,72572
311,河北师范大学汇华学院,本科二批,187565,187213,193825,183409,175678,175678,175678
312,河北石油职业技术大学,本科二批,190631,190631,190631,190631,190631,190631,190631
313,河北水利电力学院,本科二批,129750,126208,130391,128060,120745,133138,133138
314,河北外国语学院,本科二批,265432,279339,209699,188928,187480,187480,187480
315,河北医科大学,本科二批,69571,82003,89282,88287,78633,72807,34642
316,河北医科大学,本科一批,17248,17277,16510,17190,17781,19848,19848
317,河北中医学院,本科二批,111038,98716,99361,112929,79696,84704,79003
318,河池学院,本科二批,225988,182908,184336,179170,167915,160352,160352
319,河海大学,本科一批,17797,18475,15554,14591,14743,14274,14962
320,河南财经政法大学,本科一批,63644,59698,56118,52387,49710,46998,43618
321,河南财政金融学院,本科二批,164055,151757,156834,150408,145330,152681,152681
322,河南城建学院,本科二批,224338,158828,164407,161238,152038,143623,143623
323,河南城建学院,本科一批,115307,110870,107111,100709,100709,100709,100709
324,河南大学,本科一批,36819,37744,40404,39974,41790,39011,37776
325,河南工程学院,本科二批,164055,138907,136160,130659,121994,120398,120398
326,河南工学院,本科二批,185975,175789,178112,173642,162718,163055,163055
327,河南工业大学,本科一批,80734,77140,78652,72572,67539,60196,54810
328,河南开封科技传媒学院,本科二批,251493,204297,206509,205421,183594,183594,183594
329,河南科技大学,本科二批,138510,130372,92959,90348,79003,79003,79003
330,河南科技大学,本科一批,79430,69982,71851,67520,59993,56631,50997
331,河南科技学院,本科二批,263892,153171,152213,145144,133484,129271,129271
332,河南科技学院,本科一批,109592,106820,107111,124214,124214,124214,124214
333,河南科技学院新科学院,本科二批,297990,211459,203316,198558,192768,192768,192768
334,河南科技职业大学,本科二批,273082,267893,333108,333108,333108,333108,333108
335,河南理工大学,本科一批,92075,90901,90542,88287,80816,68889,59871
336,河南牧业经济学院,本科二批,181262,168670,171994,170826,157415,156507,156507
337,河南农业大学,本科一批,104040,100103,101963,98319,87270,92622,82619
338,河南师范大学,本科二批,144391,137488,147855,142492,105972,103213,103213
339,河南师范大学,本科一批,70771,69982,76393,76578,73470,62030,59871
340,河南中医药大学,本科二批,165585,275609,104362,99938,99611,99611,99611
341,河南中医药大学,本科一批,101319,90901,93105,82846,77638,61142,56764
342,河套学院,本科二批,189083,194389,201696,183409,200354,200354,200354
343,河西学院,本科二批,184349,178596,185877,169476,166587,157809,157809
344,菏泽学院,本科二批,168671,158828,158333,159838,160061,152681,152681
345,贺州学院,本科二批,213085,182908,193825,187538,169165,161742,161742
346,黑河学院,本科二批,198637,185784,192243,181968,164009,160352,160352
347,黑龙江八一农垦大学,本科二批,162483,157359,161404,150408,142717,144846,144846
348,黑龙江财经学院,本科二批,273082,269150,260916,263895,224167,224167,224167
349,黑龙江大学,本科二批,119572,98716,93105,97168,116990,79105,73170
350,黑龙江大学,本科一批,57047,55355,51294,51463,56437,68889,68889
351,黑龙江东方学院,本科二批,283600,265198,268221,251170,245509,245509,245509
352,黑龙江工程学院,本科二批,259330,140403,141960,135954,128280,122878,122878
353,黑龙江工程学院昆仑旅游学院,本科二批,280640,275609,268221,266423,266423,266423,266423
354,黑龙江工商学院,本科二批,280640,283127,266754,262622,240880,240880,240880
355,黑龙江工业学院,本科二批,200256,187213,192243,188928,165297,150006,150006
356,黑龙江科技大学,本科二批,227590,116385,119172,112929,110810,121631,121631
357,黑龙江外国语学院,本科二批,277505,270424,280520,280520,280520,280520,280520
358,黑龙江中医药大学,本科二批,145875,137488,234488,121682,110810,155209,155209
359,黑龙江中医药大学,本科一批,83173,80773,107111,53254,51363,64867,64867
360,衡水学院,本科二批,165585,163015,173485,183409,137486,139691,139691
361,衡阳师范学院,本科二批,132697,128942,131781,130659,123240,130602,130602
362,红河学院,本科二批,195410,177201,182812,169476,164009,157809,157809
363,呼和浩特民族学院,本科二批,206643,195845,256652,183409,183594,163055,163055
364,呼伦贝尔学院,本科二批,203404,192920,193825,191652,167915,147444,147444
365,湖北大学,本科一批,43027,37744,37938,32011,30474,31811,32477
366,湖北大学知行学院,本科二批,205000,202887,204917,206814,186140,186140,186140
367,湖北第二师范学院,本科二批,115307,116385,116429,112929,110810,111724,111724
368,湖北恩施学院,本科二批,213085,207250,238977,186172,195300,195300,195300
369,湖北工程学院,本科二批,131200,113569,111061,110417,99938,91462,91462
370,湖北工程学院新技术学院,本科二批,208283,210109,220514,184787,186140,207954,207954
371,湖北工业大学,本科一批,45897,40431,37938,39974,41026,41335,42781
372,湖北工业大学工程技术学院,本科二批,293683,195845,193825,193026,188865,188865,188865
373,湖北经济学院,本科二批,112446,102795,93105,91562,76579,63017,56764
374,湖北经济学院法商学院,本科二批,253042,283127,206509,212276,180995,180995,180995
375,湖北科技学院,本科二批,119572,108151,107111,105524,90665,86948,75468
376,湖北理工学院,本科二批,153381,116385,111061,112929,99938,93741,80151
377,湖北民族大学,本科二批,156390,120651,124682,122901,123240,116656,116656
378,湖北汽车工业学院,本科二批,147350,133199,134658,128060,123240,99611,82619
379,湖北汽车工业学院,本科一批,93448,110870,73020,63646,62794,62030,62030
